,symbol,name,ldcp,current,change,change_pct,idx_weight,idx_point,volume,shares_m,market_cap_m
109,GCIL,Ghani Chemical Industries Limited,35.44,35.44,-0.09,-0.25%,0.15,0.0,"10,084,070",570.0,20217.0
110,GCWL,Ghani Chemworld Limited,16.76,16.76,0.32,1.95%,0.03,0.0,"979,503",250.0,4192.0
111,GDL,Ghani Dairies Limited,20.02,20.02,0.07,0.35%,0.06,0.0,"1,878,222",429.0,8593.0
112,GEMBCEM,Burj Clean Energy Modaraba(GEM),11.50,11.50,0.50,4.55%,0.01,0.0,0,100.0,1150.0
113,GEMMEL,Mughal Energy Limited(GEM),22.48,22.48,0.00,0.00%,0.03,0.0,0,194.0,4363.0
114,GEMPACRA,The Pakistan Credit Rating Agency Ltd,49.00,49.00,0.00,0.00%,0.03,0.0,20,75.0,3652.0
115,GEMPAPL,Pak Agro Packaging Limited(GEM),12.95,12.95,0.54,4.35%,0.0,0.0,"116,675",20.0,259.0
116,GFIL,Ghazi Fabrics International Limited,31.61,31.61,0.40,1.28%,0.01,0.0,"31,010",33.0,1032.0
117,GGGL,Ghani Global Glass Limited,9.26,9.26,0.14,1.54%,0.02,0.0,"890,153",240.0,2222.0
118,GGL,Ghani Global Holdings Limited,24.11,24.11,0.74,3.17%,0.06,0.0,"3,725,811",354.0,8538.0
119,GHGL,Ghani Glass Limited,40.83,40.83,0.86,2.15%,0.31,0.0,"819,467",1000.0,40818.0
120,GHNI,Ghandhara Industries Limited,990.25,990.25,21.68,2.24%,0.32,0.0,"367,494",43.0,42193.0
121,GIL,Good Luck Industries Ltd.,"1,926.12","1,000.00",50.00,5.26%,0.0,0.0,0,0.0,300.0
122,GLAXO,GlaxoSmithKline Pakistan Limited,376.11,376.11,5.86,1.58%,0.9,0.0,"503,092",318.0,119779.0
123,GOC,GOC (Pak) Limited.,116.51,116.51,-1.81,-1.53%,0.01,0.0,369,7.0,856.0
124,GTYR,Ghandhara Tyre & Rubber Company Limited,33.04,33.04,1.58,5.02%,0.03,0.0,"4,553,551",122.0,4029.0
125,GVGL,Ghani Value Glass Limited,58.51,58.51,0.74,1.28%,0.07,0.0,"7,078",150.0,8773.0
126,GWLC,Gharibwal Cement Limited,54.99,54.99,0.66,1.21%,0.17,0.0,"372,340",400.0,22011.0
127,HAEL,Hala Enterprises Limited,29.22,29.22,2.66,10.02%,0.0,0.0,"161,198",13.0,380.0
128,HAFL,Hafiz Limited,440.37,440.37,-9.66,-2.15%,0.0,0.0,136,1.0,528.0
129,HALEON,Haleon Pakistan Limited,803.65,803.65,-1.55,-0.19%,0.71,0.0,"28,552",117.0,94071.0
130,HATMNC,Hamid Textile Mills Limited,0.97,0.97,0.00,0.00%,0.0,0.0,0,13.0,13.0
131,HCARXD,Honda Atlas Cars (Pakistan) Limited,241.38,241.38,1.01,0.42%,0.26,0.0,"503,653",143.0,34469.0
132,HINO,Hinopak Motors Limited,432.29,432.29,4.26,1.00%,0.08,0.0,"15,766",25.0,10721.0
133,HINOON,Highnoon Laboratories Limited,"1,007.54","1,007.54",4.84,0.48%,0.4,0.0,"141,439",53.0,53383.0
134,HPL,Hoechst Pakistan Limited,"4,039.96","4,039.96",4.96,0.12%,0.29,0.0,64,10.0,38964.0
135,HRPL,Habib Rice Product Limited.,21.55,21.55,0.41,1.94%,0.01,0.0,"752,781",40.0,862.0
136,HTL,Hi-Tech Lubricants Limited,44.75,44.75,0.67,1.52%,0.05,0.0,"157,847",139.0,6229.0
137,HUBC,The Hub Power Company Limited,233.14,233.14,-0.31,-0.13%,2.28,0.0,"2,962,891",1297.0,302419.0
138,IBFL,Ibrahim Fibres Limited,224.27,224.27,-1.52,-0.67%,0.52,0.0,640,311.0,69637.0
139,IBLHL,IBL HealthCare Limited,52.62,52.62,-0.40,-0.75%,0.04,0.0,"191,556",99.0,5184.0
140,ICCI,ICC Industries Limited,14.40,14.40,0.67,4.88%,0.0,0.0,"272,586",30.0,432.0
141,ICL,Ittehad Chemicals Limted,152.21,152.21,0.74,0.49%,0.11,0.0,"28,908",100.0,15221.0
142,IDRT,Idrees Textile Mills Limited,42.90,42.90,-0.68,-1.56%,0.01,0.0,"63,453",20.0,852.0
143,IDSM,Ideal Spinning Mills Limited,65.94,65.94,-3.05,-4.42%,0.0,0.0,"80,785",10.0,654.0
144,ILP,Interloop Limited,106.18,106.18,-1.36,-1.26%,1.12,0.0,"3,212,821",1402.0,148834.0
145,IMAGE,Image Pakistan Limited,26.04,26.04,0.08,0.31%,0.05,0.0,"234,895",230.0,5999.0
146,INIL,International Industries Limited,169.32,169.32,0.45,0.27%,0.17,0.0,"59,395",132.0,22330.0
147,INKL,International Knitwear Limited,96.00,96.00,-2.16,-2.20%,0.01,0.0,"9,789",10.0,929.0
148,IPAKXB,International Packaging Films Limited,34.67,34.67,-0.34,-0.97%,0.19,0.0,"539,758",735.0,25490.0
149,IREIT,Image Reit,8.19,8.19,0.15,1.87%,0.02,0.0,"1,517,446",276.0,2259.0
150,ISIL,Ismail Industries Limited,"1,932.00","1,932.00",-17.55,-0.90%,0.97,0.0,607,66.0,128202.0
151,ISL,International Steels Limited,90.18,90.18,-0.56,-0.62%,0.3,0.0,"570,429",435.0,39228.0
152,ITANZ,Itanz Technologies Limited,41.64,41.64,-1.13,-2.64%,0.03,0.0,"1,255,949",108.0,4490.0
153,ITTEFAQ,Ittefaq Iron Industries Limited,8.67,8.67,0.04,0.46%,0.01,0.0,"231,543",144.0,1251.0
154,JATM,J.A. Textile Mills Limited,44.62,44.62,4.06,10.01%,0.0,0.0,"29,767",13.0,562.0
155,JDMT,Janana De Malucho Textile Mills Limited,135.90,135.90,0.79,0.59%,0.01,0.0,"22,651",7.0,940.0
156,JDWS,JDW Sugar Mills Limited,948.43,948.43,3.75,0.40%,0.41,0.0,517,58.0,54797.0
157,JSML,Jauharabad Sugar Mills Limited,69.15,69.15,1.34,1.98%,0.02,0.0,"207,536",34.0,2360.0
158,JUBSNC,Jubilee Spinning & Weaving Mills Ltd.,52.50,52.50,1.03,2.00%,0.01,0.0,"104,093",32.0,1706.0
159,JVDC,Javedan Corporation Limited,153.48,153.48,6.28,4.27%,0.44,0.0,"3,570,218",381.0,58454.0
160,KCL,Karam Ceramics Limited,135.38,135.38,0.00,0.00%,0.01,0.0,0,15.0,1970.0
161,KEL,K-Electric Limited,8.33,8.33,-0.21,-2.46%,1.73,0.0,"82,666,150",27615.0,230035.0
162,KHYT,Khyber Textile Mills Limited,"1,618.36","1,618.36",5.16,0.32%,0.01,0.0,103,1.0,1987.0
163,KOHC,Kohat Cement Company Limited,107.12,107.12,-3.00,-2.72%,0.74,0.0,"1,407,350",919.0,98476.0
164,KOHE,Kohinoor Energy Limited,16.64,16.64,0.17,1.03%,0.02,0.0,"254,441",169.0,2820.0
165,KOHTM,Kohat Textile Mills Limited,161.43,161.43,-11.04,-6.40%,0.03,0.0,"727,969",21.0,3358.0
166,KPUS,Khairpur Sugar Mills Limited,"2,299.97","2,299.97",-6.34,-0.27%,0.28,0.0,"4,308",16.0,36840.0
167,KSBP,KSB Pumps Company Limited,202.02,202.02,-0.49,-0.24%,0.05,0.0,"19,277",31.0,6242.0
168,KSTMNC,Khalid Siraj Textile Mills Limited,13.50,13.50,-0.68,-4.79%,0.0,0.0,"45,296",11.0,144.0
169,KTML,Kohinoor Textile Mills Limited,54.30,54.30,-0.91,-1.65%,0.55,0.0,"569,654",1346.0,73115.0
170,LCI,Lucky Core Industries Limited,246.93,246.93,10.29,4.35%,0.86,0.0,"684,810",462.0,114031.0
171,LEUL,Leather Up Limited,41.14,41.14,-0.67,-1.60%,0.0,0.0,"3,184",6.0,247.0
172,LIVEN,Liven Pharma Limited,40.18,40.18,-0.54,-1.33%,0.03,0.0,"59,244",113.0,4542.0
173,LOADS,Loads Limited,14.48,14.48,0.14,0.98%,0.04,0.0,"3,150,488",371.0,5376.0
174,LOTCHEM,Lotte Chemical Pakistan Limited,28.19,28.19,0.12,0.43%,0.32,0.0,"13,241,887",1514.0,42686.0
175,LPGL,Leiner Pak Gelatine Limited,100.04,100.04,-0.02,-0.02%,0.01,0.0,"5,938",8.0,750.0
176,LUCK,Lucky Cement Limited,472.38,472.38,2.86,0.61%,5.21,0.0,"2,038,908",1465.0,692037.0
177,MACFL,MACPAC Films Limited,67.50,67.50,0.51,0.76%,0.03,0.0,"47,505",59.0,4003.0
178,MACTER,Macter International Limited,274.18,274.18,0.21,0.08%,0.09,0.0,"9,355",46.0,12560.0
179,MARI,Mari Energies Limited,673.75,673.75,-0.54,-0.08%,6.09,0.0,"773,978",1201.0,808919.0
180,MEBL,Meezan Bank Limited,553.45,553.45,36.99,7.16%,7.5,0.0,"3,775,484",1801.0,996517.0
181,MEHT,Mehmood Textile Mills Limited,239.00,239.00,-0.28,-0.12%,0.05,0.0,"1,420",30.0,7170.0
182,MERIT,Merit Packaging Limited,10.17,10.17,0.06,0.59%,0.02,0.0,"61,969",200.0,2034.0
183,MFFL,Mitchells Fruit Farms Limited,180.77,180.77,0.72,0.40%,0.03,0.0,"9,971",23.0,4135.0
184,MFL,Matco Foods Limited,46.48,46.48,-0.90,-1.90%,0.04,0.0,"1,401,712",122.0,5689.0
185,MIRKS,Mirpurkhas Sugar Mills Limited,36.00,36.00,-0.54,-1.48%,0.02,0.0,"160,800",67.0,2396.0
186,MLCF,Maple Leaf Cement Factory Limited,107.43,107.43,0.52,0.49%,0.85,0.0,"20,049,681",1048.0,112540.0
187,MQTM,Maqbool Textile Mills Limited,23.21,23.21,1.63,7.55%,0.0,0.0,"23,526",18.0,428.0
188,MRNS,Mehran Sugar Mills Limited,64.18,64.18,1.16,1.84%,0.04,0.0,"145,797",75.0,4809.0
189,MSCL,Metropolitan Steel Corporation Limited,28.24,28.24,-0.01,-0.03%,0.01,0.0,"46,974",31.0,875.0
190,MTL,Millat Tractors Limited,305.21,305.21,0.26,0.08%,0.92,0.0,"317,997",399.0,121789.0
191,MUBTNC,Mubarak Textile Mills Limited,3.85,3.85,-1.00,-20.62%,0.0,0.0,0,5.0,21.0
192,MUGHAL,Mughal Iron & Steel Industries Limited,88.35,88.35,0.74,0.85%,0.22,0.0,"2,287,765",336.0,29653.0
193,MWMP,Mandviwala Mauser Plastic Industries,66.02,66.02,1.02,1.57%,0.01,0.0,"3,359",29.0,1898.0
