,symbol,name,ldcp,current,change,change_pct,idx_weight,idx_point,volume,shares_m,market_cap_m
246,SEL,Sitara Energy Limited,30.91,30.91,-0.10,-0.32%,0.0,0.0,"8,202",19.0,590.0
247,SERT,Service Industries Textiles Limited,39.82,39.82,0.36,0.91%,0.0,0.0,"30,682",14.0,549.0
248,SGABLNC,SG.Allied Businesses Limited,126.00,126.00,0.00,0.00%,0.01,0.0,0,15.0,1890.0
249,SGF,Service GlobalFootwear Limited,122.35,122.35,0.43,0.35%,0.19,0.0,"210,834",206.0,25261.0
250,SGPL,S.G. Power Limited,88.15,88.15,8.01,10.00%,0.01,0.0,"4,958,617",18.0,1572.0
251,SHCM,Shadman Cotton Mills Limited,49.99,49.99,0.00,0.00%,0.01,0.0,8,18.0,882.0
252,SHDT,Shadab Textile Mills Limited,70.40,70.40,1.32,1.91%,0.01,0.0,"522,433",23.0,1609.0
253,SHFA,Shifa International Hospitals Limited,504.28,504.28,-1.21,-0.24%,0.24,0.0,"17,447",63.0,31878.0
254,SHSML,Shahmurad Sugar Mills Limited,381.26,381.26,0.95,0.25%,0.06,0.0,"1,270",21.0,8052.0
255,SIEM,Siemens (Pakistan) Engineering,"1,533.14","1,533.14",-31.61,-2.02%,0.1,0.0,213,8.0,12644.0
256,SINDM,Sindh Modaraba,22.66,22.66,-0.03,-0.13%,0.01,0.0,"9,844",45.0,1020.0
257,SITC,Sitara Chemical Industries Limited,860.43,860.43,1.82,0.21%,0.14,0.0,"17,968",21.0,18439.0
258,SKRSNC,Sakrand Sugar Mills Limited,27.70,27.70,0.56,2.06%,0.01,0.0,"107,936",45.0,1236.0
259,SLGL,Secure Logistics-Trax Group Limited,16.78,16.78,0.37,2.26%,0.05,0.0,"3,941,734",422.0,7078.0
260,SLM,Service Long March Tyres Limited,25.28,25.28,-0.10,-0.39%,1.48,0.0,"12,102,110",7795.0,197052.0
261,SMCPL,Safe Mix Concrete Limited,46.00,46.00,-0.20,-0.43%,0.01,0.0,"6,538",25.0,1150.0
262,SMLNC,Shakarganj Limited,118.10,118.10,0.00,0.00%,0.11,0.0,62,125.0,14763.0
263,SNAI,Sana Industries Limited,37.81,37.81,0.00,0.00%,0.01,0.0,30,20.0,755.0
264,SNGP,Sui Northern Gas Pipelines Limited,119.63,119.63,-1.30,-1.07%,0.57,0.0,"2,057,120",634.0,75871.0
265,SPEL,SPEL Limited,53.16,53.16,1.42,2.74%,0.08,0.0,"1,679,742",200.0,10618.0
266,SPLNC,Sitara Peroxide Limited,65.45,65.45,-0.62,-0.94%,0.03,0.0,"39,583",55.0,3606.0
267,SPSL,Sitara Petroleum Service Limited,19.20,19.20,-0.36,-1.84%,0.24,0.0,"15,254,417",1680.0,32254.0
268,SRR,Signature Residency Reit,16.20,16.20,-0.06,-0.37%,0.0,0.0,"68,889",33.0,535.0
269,SRVI,Service Industries Limited,"2,344.15","2,344.15",3.39,0.15%,0.83,0.0,"18,660",47.0,110146.0
270,SSGC,Sui Southern Gas Company Limited,31.85,31.85,-0.23,-0.72%,0.21,0.0,"8,089,276",881.0,28057.0
271,SSMLNC,Saritow Spinning Mills Limited,24.11,24.11,-1.21,-4.78%,0.01,0.0,"7,483",30.0,719.0
272,SSOM,S.S.Oil Mills Limited,461.48,461.48,2.66,0.58%,0.02,0.0,"52,951",6.0,2611.0
273,STCL,Shabbir Tiles & Ceramics Limited,11.20,11.20,0.41,3.80%,0.02,0.0,"906,528",239.0,2680.0
274,STJT,Shahtaj Textile Limited,147.89,147.89,4.04,2.81%,0.01,0.0,"1,499",10.0,1429.0
275,STL,Supernet Technologies Limited,51.50,51.50,1.88,3.79%,0.04,0.0,"1,689,851",108.0,5542.0
276,STML,Shams Textile Mills Limited,44.48,44.48,0.00,0.00%,0.0,0.0,309,9.0,384.0
