,symbol,name,ldcp,current,change,change_pct,idx_weight,idx_point,volume,freefloat_m,market_cap_m
0,AIRLINK,Air Link Communication Limited,158.59,158.59,1.65,1.05%,0.51,0.0,"2,063,854",119.0,18806.0
1,ATRL,Attock Refinery Limited,873.63,873.63,22.96,2.70%,1.01,0.0,"281,596",43.0,37257.0
2,BOP,The Bank of Punjab,36.31,36.31,1.22,3.48%,1.36,0.0,"77,111,046",1382.0,50181.0
3,DGKC,D.G. Khan Cement Company Limited,227.14,227.14,3.87,1.73%,1.35,0.0,"8,336,417",219.0,49757.0
4,EFERT,Engro Fertilizers Limited,199.87,199.87,0.92,0.46%,3.25,0.0,"1,158,607",601.0,120099.0
5,ENGROH,Engro Holdings Limited,294.09,294.09,6.37,2.21%,7.66,0.0,"4,794,478",963.0,283322.0
6,FCCL,Fauji Cement Company Limited,59.28,59.28,1.73,3.01%,1.38,0.0,"10,591,055",858.0,50892.0
7,FFC,Fauji Fertilizer Company Limited,572.17,572.17,-1.31,-0.23%,12.25,0.0,"2,106,457",791.0,452851.0
8,GAL,Ghandhara Automobiles Limited,583.21,583.21,21.19,3.77%,0.36,0.0,"2,797,731",23.0,13298.0
9,GHNI,Ghandhara Industries Limited,990.25,990.25,21.68,2.24%,0.4,0.0,"367,494",15.0,14768.0
10,HBL,Habib Bank Limited,307.45,307.45,15.24,5.22%,4.88,0.0,"6,871,016",587.0,180394.0
11,HUBC,The Hub Power Company Limited,233.14,233.14,-0.31,-0.13%,6.13,0.0,"2,962,891",973.0,226814.0
12,LUCK,Lucky Cement Limited,472.38,472.38,2.86,0.61%,5.61,0.0,"2,038,908",440.0,207611.0
13,MARI,Mari Energies Limited,673.75,673.75,-0.54,-0.08%,4.38,0.0,"773,978",240.0,161784.0
14,MCB,MCB Bank Limited,426.84,426.84,21.33,5.26%,4.79,0.0,"1,857,558",415.0,177041.0
15,MEBL,Meezan Bank Limited,553.45,553.45,36.99,7.16%,6.74,0.0,"3,775,484",450.0,249129.0
16,MLCF,Maple Leaf Cement Factory Limited,107.43,107.43,0.52,0.49%,1.37,0.0,"20,049,681",471.0,50643.0
17,NBP,National Bank of Pakistan,205.01,205.01,6.51,3.28%,2.83,0.0,"15,996,699",510.0,104558.0
18,NRL,National Refinery Limited,366.62,366.62,4.13,1.14%,0.26,0.0,"402,561",26.0,9647.0
19,OGDC,Oil & Gas Development Company Limited,334.91,334.91,0.04,0.01%,5.84,0.0,"3,716,723",645.0,216064.0
20,PAEL,Pak Elektron Limited,45.42,45.42,-0.03,-0.07%,0.62,0.0,"10,840,203",508.0,23074.0
21,POL,Pakistan Oilfields Limited,687.90,687.90,-0.01,0.00%,2.42,0.0,"160,000",130.0,89403.0
22,PPL,Pakistan Petroleum Limited,243.74,243.74,1.12,0.46%,4.41,0.0,"3,456,873",669.0,163177.0
23,PSO,Pakistan State Oil Company Limited,346.12,346.12,3.77,1.10%,2.2,0.0,"2,785,134",235.0,81247.0
24,SAZEW,Sazgar Engineering Works Limited,"2,088.03","2,088.03",24.54,1.19%,1.19,0.0,"117,789",21.0,44175.0
25,SEARL,The Searle Company Limited,94.58,94.58,0.04,0.04%,0.75,0.0,"1,983,501",294.0,27817.0
26,SNGP,Sui Northern Gas Pipelines Limited,119.63,119.63,-1.30,-1.07%,0.82,0.0,"2,057,120",254.0,30349.0
27,SSGC,Sui Southern Gas Company Limited,31.85,31.85,-0.23,-0.72%,0.29,0.0,"8,089,276",337.0,10728.0
28,SYS,Systems Limited,149.57,149.57,2.48,1.69%,3.58,0.0,"1,614,217",884.0,132226.0
29,UBL,United Bank Limited,479.73,479.73,32.06,7.16%,11.37,0.0,"8,560,443",876.0,420477.0
